date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:14:02	327/327	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202017%2016:44:02%20GMT	https://demo.kaliumtheme.com/robots.txt		(from )
22:14:03	83785/83785	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2016:44:03%20GMT	https://demo.kaliumtheme.com/landing/	C:/My%20Web%20Sites/kalium/demo.kaliumtheme.com/landing/index.html	(from )
22:14:03	771/771	---MC-	200	added ('OK')	application/rss+xml	etag:%22b0166e4288068f39bffb59af2ee08020%22	https://demo.kaliumtheme.com/landing/comments/feed/	C:/My%20Web%20Sites/kalium/demo.kaliumtheme.com/landing/comments/feed/index.html	(from https://demo.kaliumtheme.com/landing/)
22:14:04	8961/8961	---MC-	200	added ('OK')	application/rss+xml	etag:%2243ec2af451318b16a20961a1a53b459b%22	https://demo.kaliumtheme.com/landing/feed/	C:/My%20Web%20Sites/kalium/demo.kaliumtheme.com/landing/feed/index.html	(from https://demo.kaliumtheme.com/landing/)
22:14:05	30072/30072	---MCZ	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202017%2013:31:02%20GMT	https://demokaliumsites-laborator.netdna-ssl.com/landing/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.6.2	C:/My%20Web%20Sites/kalium/demokaliumsites-laborator.netdna-ssl.com/landing/wp-content/plugins/revslider/public/assets/css/settings035f.css	(from https://demo.kaliumtheme.com/landing/)
22:14:07	40568/40568	---MCZ	200	added ('OK')	text/css	date:Wed,%2030%20Aug%202017%2013:03:03%20GMT	https://demokaliumsites-laborator.netdna-ssl.com/landing/wp-content/themes/kalium/assets/css/bootstrap.css	C:/My%20Web%20Sites/kalium/demokaliumsites-laborator.netdna-ssl.com/landing/wp-content/themes/kalium/assets/css/bootstrap.css	(from https://demo.kaliumtheme.com/landing/)
22:14:08	570/570	---MCZ	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202017%2013:31:02%20GMT	https://demokaliumsites-laborator.netdna-ssl.com/landing/wp-content/themes/kalium/style.css?ver=2.1.4	C:/My%20Web%20Sites/kalium/demokaliumsites-laborator.netdna-ssl.com/landing/wp-content/themes/kalium/style6b25.css	(from https://demo.kaliumtheme.com/landing/)
22:14:11	35621/35621	---MCZ	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202017%2013:40:49%20GMT	https://demokaliumsites-laborator.netdna-ssl.com/landing/wp-content/themes/kalium/assets/css/custom-skin.css?ver=7e0d9a51ebfe4f0c6666b0da7ab5d1d3	C:/My%20Web%20Sites/kalium/demokaliumsites-laborator.netdna-ssl.com/landing/wp-content/themes/kalium/assets/css/custom-skin1325.css	(from https://demo.kaliumtheme.com/landing/)
22:14:11	646631/646631	---MCZ	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202017%2013:31:02%20GMT	https://demokaliumsites-laborator.netdna-ssl.com/landing/wp-content/themes/kalium/assets/css/main.css?ver=2.1.4	C:/My%20Web%20Sites/kalium/demokaliumsites-laborator.netdna-ssl.com/landing/wp-content/themes/kalium/assets/css/main6b25.css	(from https://demo.kaliumtheme.com/landing/)
22:14:12	462190/462190	---MCZ	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202017%2013:31:02%20GMT	https://demokaliumsites-laborator.netdna-ssl.com/landing/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.2	C:/My%20Web%20Sites/kalium/demokaliumsites-laborator.netdna-ssl.com/landing/wp-content/plugins/js_composer/assets/css/js_composer.min7661.css	(from https://demo.kaliumtheme.com/landing/)
22:14:15	10056/10056	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Jun%202016%2019:34:59%20GMT	https://demokaliumsites-laborator.netdna-ssl.com/landing/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/kalium/demokaliumsites-laborator.netdna-ssl.com/landing/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://demo.kaliumtheme.com/landing/)
22:14:15	97184/97184	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Jun%202016%2019:34:59%20GMT	https://demokaliumsites-laborator.netdna-ssl.com/landing/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/kalium/demokaliumsites-laborator.netdna-ssl.com/landing/wp-includes/js/jquery/jqueryb8ff.js	(from https://demo.kaliumtheme.com/landing/)
